seed,scene_index,scene_name,method,success,terminal_error,min_dist,arrival_time_success,control_energy,update_count,accepted_update_count,confidence,alpha,pred_gain,recent_gain,norm_id_error,nnz_model
122,2,S2 One-sided mud pit (benchmark),sindy,1,0.28321938749107356,0.3490805687484388,10.4,11.830014715634338,18,8,0.89501800008216,0.3376764606768081,0.9527134995240577,0.9854529610136227,0.00954302837359047,14
122,2,S2 One-sided mud pit (benchmark),standard,1,0.2668876892920634,0.3401839942535165,10.5,11.566845158298865,0,0,,,,,,0
122,2,S2 One-sided mud pit (benchmark),rls,1,0.2699820804983419,0.3501034340390652,10.4,11.631562266443282,90,90,,0.2,,,,0
122,3,S3 One-sided mud pit (stress),sindy,1,0.29961014623653764,0.41465216160081364,14.5,17.247695200042497,27,3,0.8811328990442844,0.2153105339602254,0.9703528398472702,0.9619866688217492,0.0275771402692631,13
122,3,S3 One-sided mud pit (stress),standard,0,0.2885843806155407,0.37143646325491786,,16.645607978654223,0,0,,,,,,0
122,3,S3 One-sided mud pit (stress),rls,0,0.28678542686629094,0.3702032146411751,,16.58179192033479,135,135,,0.2,,,,0
122,4,S4 Emergency avoidance with moving obstacle,sindy,1,0.27913068267335356,0.43649564940393615,9.5,11.434405098491338,17,9,0.872515624472508,0.35499084983698714,0.39558831207485845,0.579047872394518,0.029376404839675574,14
122,4,S4 Emergency avoidance with moving obstacle,standard,1,0.2530596051564011,0.4305085054512067,9.5,11.305942460040374,0,0,,,,,,0
122,4,S4 Emergency avoidance with moving obstacle,rls,1,0.2574369386963873,0.4181260924015341,9.600000000000001,11.217238268028417,82,82,,0.2,,,,0
122,5,S5 Continuously varying terrain,sindy,1,0.26453311730915857,0.6900561375484868,10.3,12.308929986540486,18,6,0.8924891613473557,0.3107420211720248,0.9737474124739238,0.9722484104217939,0.011676307404050177,14
122,5,S5 Continuously varying terrain,standard,1,0.2652049019837622,0.6445521888531319,10.3,12.2232613890374,0,0,,,,,,0
122,5,S5 Continuously varying terrain,rls,1,0.2651153790016233,0.6445521888531319,10.3,12.2232613890374,89,89,,0.2,,,,0
122,6,S6 High-mismatch asymmetric mud stress,sindy,1,0.3121774895821072,0.4604395238370692,16.1,19.523943509654643,30,4,0.8734894992930711,0.2555408826150621,0.9791249330678957,0.9721986763450297,0.022419297588225032,15
122,6,S6 High-mismatch asymmetric mud stress,standard,1,0.3041359035421652,0.3846073322496797,16.7,18.64693573169485,0,0,,,,,,0
122,6,S6 High-mismatch asymmetric mud stress,rls,1,0.31644171534793947,0.3915974846495456,16.5,18.747640911159916,151,151,,0.2,,,,0
123,1,S1 Slippery-surface avoidance,sindy,1,0.2767699161587604,1.3304278114463972,12.3,14.898702336014914,22,9,0.8859319012903354,0.34823192422974136,0.9699595343740873,0.9667942410122529,0.02321818245968982,13
123,1,S1 Slippery-surface avoidance,standard,1,0.2845954805499957,1.2953650629104745,12.200000000000001,14.572896027864722,0,0,,,,,,0
123,1,S1 Slippery-surface avoidance,rls,1,0.2845954805499957,1.2953650629104745,12.200000000000001,14.572896027864722,108,108,,0.2,,,,0
123,2,S2 One-sided mud pit (benchmark),sindy,1,0.2788223067425718,0.3510051715469202,10.4,11.835348967450054,18,11,0.8931958179388808,0.359792093949123,0.9604125755666639,0.9682068223381219,0.01679593615354342,13
123,2,S2 One-sided mud pit (benchmark),standard,1,0.2592624116392346,0.3418359711953019,10.5,11.595005253601661,0,0,,,,,,0
123,2,S2 One-sided mud pit (benchmark),rls,1,0.2689355589498501,0.3520577894116494,10.4,11.635738225713391,90,90,,0.2,,,,0
123,3,S3 One-sided mud pit (stress),sindy,1,0.2983292970925693,0.44409138540988674,14.3,17.42171970778404,26,3,0.8526150254001847,0.2154855579219048,0.9500756516367014,0.9612865769219804,0.042030633182831074,15
123,3,S3 One-sided mud pit (stress),standard,0,0.28918072292070796,0.37375324562386913,,16.663725525973458,0,0,,,,,,0
123,3,S3 One-sided mud pit (stress),rls,0,0.28695460177507826,0.37326848135771107,,16.600080407093056,135,135,,0.2,,,,0
123,4,S4 Emergency avoidance with moving obstacle,sindy,1,0.25067081157599613,0.4335355060697589,9.5,11.430174442513982,17,9,0.9029995165918553,0.3541528719634334,0.9256202483165193,0.9428159235531142,0.008442773162667653,13
123,4,S4 Emergency avoidance with moving obstacle,standard,1,0.25367101393524616,0.4335355060697589,9.5,11.310308886909125,0,0,,,,,,0
123,4,S4 Emergency avoidance with moving obstacle,rls,1,0.2575112036407969,0.420686148179547,9.600000000000001,11.221727198982089,82,82,,0.2,,,,0
